GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC4321,40153,15.210000038146973,38.5,156.1999969482422,1,26.580090067486527,5.726211700475938,9.56568262540947,3.0,43.40909744067251,3.112077239513225,9.054561582785219,4.0,34.65332665520347,8.08422711348083,3.3852950337408765,3.0,6.279128423333168,2.3265296548604955,5.603684329986572,3.0019737482070914,5.078338924050332,2.6267270296812057,17.870074399716223,0.8935037199858112,2005ApJ...632..253H
NGC4424,40809,16.200000762939453,58.20000076293945,88.30000305175781,0,17.16716937956538,1.379372580526314,2.163740266679939,4.0,,,,,,,,,,,,,,,,,
NGC4457,41101,15.0,17.399999618530273,78.69999694824219,0,122.39030047231829,0.9773148477994849,0.359394418269551,3.0,,,,,,,,,0.09615384340286255,0.09615384340286255,,,,,,,
NGC4459,41104,15.850000381469727,46.95000076293945,108.75,0,89.11958145601398,366.81603157388,40.6255977695889,3.0,,,,,,,,,,,,,,,,,
NGC4476,41255,17.540000915527344,60.13999938964844,27.3799991607666,0,174.55765132750642,33.90869858985017,25.109817323034175,4.0,,,,,,,,,,,,,,,,,
NGC4477,41260,15.760000228881836,33.5099983215332,25.68000030517578,0,1440.297105871347,439.2076797167258,623.288118628322,4.0,,,,,,,,,,,,,,,,,
NGC4496A,41471,14.859999656677246,53.79999923706055,51.099998474121094,1,23.90852298850409,2.317650315551945,1.2262758407999081,1.0,,,,,,,,,1.8201007261872295,1.8201007261872295,,,,,,,
NGC4535,41812,15.770000457763672,44.70000076293945,179.6999969482422,1,30.88709264896637,0.45840215750676916,0.2939960214496626,1.0,20.957247875785733,7.732963018453558,1.3124560945308648,3.0,30.65798466829443,0.9047546941504478,0.349549954233318,1.0,5.364794455468654,2.7697310909628863,5.439652052521705,2.99430388212204,5.364794455468654,2.7697310909628863,,,
NGC4536,41823,16.25,66.0,305.6000061035156,1,17.91050090253024,2.569697227979116,4.096571703076856,1.0,,,,,,,,,8.953535974025726,2.1648848176002495,,,,,,,
NGC4540,41876,15.760000228881836,28.700000762939453,12.800000190734863,1,55.58636091109934,11.880747098028525,9.004152196974106,1.0,,,,,,,,,1.5009524345397949,1.5009524345397949,,,,,,,
NGC4548,41934,16.219999313354492,38.29999923706055,138.0,1,26.22690241745621,2.6884062812975773,2.512447135050563,2.0,,,,,,,,,5.682005965709687,0.6758333086967472,,,,,,,
NGC4569,42089,15.760000228881836,70.0,18.0,1,31.886494676972706,10.514362251667105,11.932609526525656,1.0,,,,,,,,,0.0938095271587372,0.0938095271587372,,,,,,,
NGC4571,42100,14.0,32.70000076293945,217.5,0,30.795966377945035,1.2071805805242515,0.9533815070555234,1.0,,,,,,,,,4.134228420257569,0.7046980261802673,,,,,,,
