key,file_name,bytes_size,subcategory,sortingCategory,restricted,visible,updated,version
psi-data/PSI-32/Raw Data/2019_025_190124_V12_3631218580_Zload_Dec1_20ms_0p95_tSlosh_1_L1.zip,2019_025_190124_V12_3631218580_Zload_Dec1_20ms_0p95_tSlosh_1_L1.zip,227041234,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_025_190124_V12_3631218580_Zload_Dec1_20ms_0p95_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_1_L1.zip,2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_1_L1.zip,244302055,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_026_tabs_to_pngs.csv,2019_026_tabs_to_pngs.csv,31675,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_2_L1.zip,2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_2_L1.zip,164546926,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_026_190125_V12_3631222794_Zload_Dec1_20ms_0p85_tSlosh_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_026_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1.zip,2019_026_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1.zip,134366953,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_026_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1.zip,2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1.zip,245263698,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_028_tabs_to_pngs.csv,2019_028_tabs_to_pngs.csv,14288,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_2_L1.zip,2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_2_L1.zip,79243148,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_028_190126_V12_3631310474_Dimple_noDec_TOF_TOF_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_028_190126_V12_3631311018_Zload_Dec1_20ms_0p85_v2_tSlosh_1_L1.zip,2019_028_190126_V12_3631311018_Zload_Dec1_20ms_0p85_v2_tSlosh_1_L1.zip,147231200,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_028_190126_V12_3631311018_Zload_Dec1_20ms_0p85_v2_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_029_190126_V12_3631311018_Zload_Dec1_20ms_0p85_v2_tSlosh_1_L1.zip,2019_029_190126_V12_3631311018_Zload_Dec1_20ms_0p85_v2_tSlosh_1_L1.zip,171575649,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_029_190126_V12_3631311018_Zload_Dec1_20ms_0p85_v2_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
