experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
263,-1.4488238752910512,-1.4094052461676903,0.03941862912336447
264,2.8032018494896285,2.061010599346968,-0.742191250142664
265,-1.9955063668857314,2.8755269333313613,-1.4121520069624829
266,0.562820523559413,0.4023184884957267,-0.16050203506368277
267,-1.4670400704278812,-2.0131405549977863,-0.5461004845699016
268,-0.8935552299675145,-0.9699032957117559,-0.07634806574423791
269,-2.667702759707179,2.8587373316419367,-0.7567452158304597
270,-0.20777030709804123,-1.1484094406549836,-0.9406391335569388
271,3.1257022248597686,2.184897400312618,-0.9408048245471541
272,1.9654487827975906,2.3647766061011133,0.39932782330352623
273,2.0947897435114378,2.955455892091802,0.8606661485803677
274,-1.8929902205372109,-2.3959909762895855,-0.5030007557523781
275,-0.6963408112043474,-2.070175273512806,-1.3738344623084622
276,-1.6570113626660934,-2.17400236549123,-0.516991002825133
277,-0.2470350228228817,-0.7281869458714674,-0.4811519230485821
278,1.8853643382731953,-0.03500852228544815,-1.9203728605586399
279,-0.7041519335230468,-1.637937054872392,-0.9337851213493416
280,-1.4846386510909007,3.0150260455761746,-1.7835206105125074
281,1.3604793581057173,0.7074322940259812,-0.6530470640797397
282,0.8443067090331517,0.40292332720708046,-0.44138338182606773
283,-1.47971588046887,-1.3226611752395279,0.15705470522934561
284,-1.8410722772003503,-2.254595579472639,-0.41352330227229217
285,-1.0109960311954147,-1.8566995995238464,-0.8457035683284282
286,2.393292104999528,2.3905574537682988,-0.002734651231232732
287,1.3322130899722389,1.577416952632067,0.24520386265982452
288,0.9544404846043228,0.7512890558628449,-0.2031514287414744
289,-1.904668359586534,-2.1962026005175694,-0.2915342409310391
290,-0.15807552882253262,-0.37390970074524077,-0.2158341719227046
291,1.5436005815184366,1.334171564994623,-0.20942901652380996
292,0.91648370995836,1.051697713199804,0.1352140032414475
293,1.829227460347031,1.5789418492699987,-0.25028561107702885
294,2.766284472796098,2.561995629501798,-0.20428884329430375
295,3.1223703581576068,2.334503058436969,-0.7878672997206415
296,2.510785168359579,1.2948710430024768,-1.2159141253570986
297,0.11460944685207508,-0.8449902615380545,-0.959599708390126
298,2.713664138768582,1.5459979071034446,-1.1676662316651338
299,1.490893157460878,1.6669391309997899,0.17604597353890838
300,2.757635106882919,-2.920027099849424,0.6055231004472397
301,-0.16331216634993595,-0.5905185248803342,-0.4272063585303947
302,-1.2094599599268427,-1.1963780310696244,0.013081928857221925
303,-0.008717772095234722,-1.0434842624780707,-1.0347664903828324
304,1.8084665879948751,0.9815966114314314,-0.8268699765634402
305,-2.9684636472070416,-2.713017049646769,0.2554465975602689
306,2.1414612157024457,2.1147926865950346,-0.02666852910740758
307,-2.317864852627107,-2.392140020224719,-0.07427516759761588
308,1.2464583785356318,0.5323412138256352,-0.7141171647100002
309,0.4109449164148522,0.42517296261879167,0.014228046203943023
310,-2.4033626468494553,-2.270423495683513,0.1329391511659459
311,2.255902429722216,0.8613047115449781,-1.3945977181772342
312,0.7623848894067784,0.21654146865046542,-0.5458434207563094
313,-0.9272850832879094,-1.0886380860485012,-0.16135300276058828
314,2.0503588525497456,1.590926086065874,-0.459432766483868
