mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
545,D,5.903,0.060,AF310,AF310_1_50545.50677_50545.54676.exp,B,17,15575040,1
549,A,34.338,0.311,AF310,AF310_1_50549.49566_50549.53588.exp,B,17,15681536,1
549,B,16.267,0.150,AF310,AF310_1_50549.49566_50549.53588.exp,B,17,15681536,1
549,C,17.507,0.161,AF310,AF310_1_50549.49566_50549.53588.exp,B,17,15681536,1
549,D,5.758,0.061,AF310,AF310_1_50549.49566_50549.53588.exp,B,17,15681536,1
553,A,33.728,0.306,AF310,AF310_1_50553.48478_50553.52488.exp,B,17,15628288,1
553,B,16.519,0.152,AF310,AF310_1_50553.48478_50553.52488.exp,B,17,15628288,1
553,C,17.374,0.160,AF310,AF310_1_50553.48478_50553.52488.exp,B,17,15628288,1
553,D,5.820,0.061,AF310,AF310_1_50553.48478_50553.52488.exp,B,17,15628288,1
557,A,33.004,0.295,AF310,AF310_1_50557.34334_50557.38935.exp,B,17,17068032,1
557,B,16.755,0.152,AF310,AF310_1_50557.34334_50557.38935.exp,B,17,17068032,1
557,C,17.459,0.158,AF310,AF310_1_50557.34334_50557.38935.exp,B,17,17068032,1
557,D,5.707,0.060,AF310,AF310_1_50557.34334_50557.38935.exp,B,17,17068032,1
560,A,33.241,0.300,AF310,AF310_1_50560.46557_50560.50584.exp,B,17,15708160,1
560,B,16.622,0.152,AF310,AF310_1_50560.46557_50560.50584.exp,B,17,15708160,1
560,C,17.630,0.161,AF310,AF310_1_50560.46557_50560.50584.exp,B,17,15708160,1
560,D,5.833,0.061,AF310,AF310_1_50560.46557_50560.50584.exp,B,17,15708160,1
564,A,33.049,0.300,AF310,AF310_1_50564.45480_50564.49491.exp,B,18,14260224,1
564,B,16.850,0.156,AF310,AF310_1_50564.45480_50564.49491.exp,B,18,14260224,1
564,C,16.666,0.154,AF310,AF310_1_50564.45480_50564.49491.exp,B,18,14260224,1
564,D,5.805,0.062,AF310,AF310_1_50564.45480_50564.49491.exp,B,18,14260224,1
571,A,34.091,0.309,AF310,AF310_1_50571.43594_50571.47581.exp,B,17,15521792,1
571,B,16.535,0.152,AF310,AF310_1_50571.43594_50571.47581.exp,B,17,15521792,1
571,C,17.653,0.162,AF310,AF310_1_50571.43594_50571.47581.exp,B,17,15521792,1
571,D,5.957,0.063,AF310,AF310_1_50571.43594_50571.47581.exp,B,17,15521792,1
576,A,33.332,0.302,AF310,AF310_1_50576.42228_50576.48293.exp,B,27,23588864,1
576,B,16.748,0.154,AF310,AF310_1_50576.42228_50576.48293.exp,B,27,23588864,1
576,C,17.093,0.157,AF310,AF310_1_50576.42228_50576.48293.exp,B,27,23588864,1
576,D,5.847,0.059,AF310,AF310_1_50576.42228_50576.48293.exp,B,27,23588864,1
581,A,34.055,0.308,AF310,AF310_1_50581.40851_50581.44855.exp,B,17,15601664,1
581,B,15.971,0.147,AF310,AF310_1_50581.40851_50581.44855.exp,B,17,15601664,1
581,C,18.138,0.166,AF310,AF310_1_50581.40851_50581.44855.exp,B,17,15601664,1
581,D,5.768,0.060,AF310,AF310_1_50581.40851_50581.44855.exp,B,17,15601664,1
585,A,34.151,0.307,AF310,AF310_1_50585.33455_50585.37529.exp,B,17,16187392,1
585,B,16.127,0.148,AF310,AF310_1_50585.33455_50585.37529.exp,B,17,16187392,1
585,C,17.287,0.158,AF310,AF310_1_50585.33455_50585.37529.exp,B,17,16187392,1
585,D,5.732,0.060,AF310,AF310_1_50585.33455_50585.37529.exp,B,17,16187392,1
589,A,33.723,0.307,AF310,AF310_1_50589.38675_50589.42668.exp,B,17,16293888,1
589,B,15.952,0.148,AF310,AF310_1_50589.38675_50589.42668.exp,B,17,16293888,1
589,C,17.538,0.162,AF310,AF310_1_50589.38675_50589.42668.exp,B,17,16293888,1
589,D,6.051,0.064,AF310,AF310_1_50589.38675_50589.42668.exp,B,17,16293888,1
591,A,34.341,0.312,AF310,AF310_1_50591.38142_50591.42124.exp,B,17,16240640,1
591,B,16.068,0.150,AF310,AF310_1_50591.38142_50591.42124.exp,B,17,16240640,1
591,C,17.214,0.160,AF310,AF310_1_50591.38142_50591.42124.exp,B,17,16240640,1
591,D,5.962,0.066,AF310,AF310_1_50591.38142_50591.42124.exp,B,17,16240640,1
594,A,33.130,0.302,AF310,AF310_1_50594.45689_50594.49612.exp,B,17,15415296,1
594,B,16.309,0.152,AF310,AF310_1_50594.45689_50594.49612.exp,B,17,15415296,1
594,C,17.018,0.158,AF310,AF310_1_50594.45689_50594.49612.exp,B,17,15415296,1
594,D,5.993,0.065,AF310,AF310_1_50594.45689_50594.49612.exp,B,17,15415296,1
