run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,12,1,30000,724325,774,0.305694,0.162790,0.162790,5.799969,0.066579,,1.115598,0.143845,0.018944,1.118798
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,16,1,30000,724325,774,0.304555,0.161511,0.161511,5.800093,0.061983,,1.087860,0.144438,0.017073,0.953602
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,20,0,30000,724325,774,0.304933,0.161927,0.161927,5.799582,0.059680,,1.127259,0.144994,0.016933,0.952000
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,24,1,30000,724325,774,0.305770,0.162919,0.162919,5.798873,0.056977,,1.092321,0.145016,0.017904,1.001669
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,28,0,30000,724325,774,0.304855,0.161798,0.161798,5.800151,0.052942,,1.050383,0.144011,0.017787,1.007760
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,32,1,30000,724325,774,0.305271,0.162089,0.162089,5.799556,0.052161,,1.052187,0.144215,0.017874,1.003367
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,36,0,30000,724325,774,0.304953,0.161895,0.161895,5.799561,0.050403,,1.018004,0.144245,0.017650,0.968795
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,40,1,30000,724325,774,0.305455,0.162370,0.162370,5.799595,0.049574,,1.002236,0.144556,0.017814,0.961122
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,44,0,30000,724325,774,0.305248,0.162234,0.162234,5.798963,0.049512,,1.052971,0.144016,0.018218,0.991261
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,48,1,30000,724325,774,0.305507,0.162778,0.162778,5.798848,0.049464,,1.018634,0.144244,0.018534,1.031867
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,52,0,30000,724325,774,0.304752,0.161660,0.161660,5.800534,0.047021,,0.968441,0.143281,0.018379,1.017152
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,56,0,30000,724325,774,0.305619,0.162543,0.162543,5.800518,0.048559,,0.991359,0.144581,0.017962,1.017187
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,60,0,30000,724325,774,0.304836,0.161693,0.161693,5.801201,0.048553,,0.968595,0.143624,0.018069,0.994326
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,64,1,30000,724325,774,0.305416,0.162374,0.162374,5.801053,0.048982,,0.953552,0.144716,0.017659,0.945999
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,68,0,30000,724325,774,0.305169,0.161939,0.161939,5.802591,0.050127,,1.004954,0.143767,0.018172,1.096657
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,72,0,30000,724325,774,0.305756,0.162576,0.162576,5.800623,0.051368,,0.977266,0.143910,0.018667,1.026082
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,76,0,30000,724325,774,0.304132,0.161162,0.161162,5.801488,0.049880,,0.947879,0.144592,0.016570,0.930815
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,80,1,30000,724325,774,0.305420,0.162351,0.162351,5.800156,0.052563,,0.959602,0.144159,0.018192,0.962373
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,84,0,30000,724325,774,0.304777,0.161889,0.161889,5.799411,0.052623,,0.926407,0.144087,0.017802,0.936334
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,88,0,30000,724325,774,0.305537,0.162675,0.162675,5.799382,0.054776,,0.996992,0.143772,0.018903,1.127828
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,92,0,30000,724325,774,0.306162,0.163167,0.163167,5.799386,0.056803,,,0.144155,0.019012,
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,96,1,30000,724325,774,0.304616,0.161496,0.161496,5.800694,0.054941,,,0.144735,0.016761,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,8,1,30000,724325,774,0.163910,0.091695,0.091695,5.256032,0.000000,,,0.091695,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,12,1,30000,724325,774,0.172883,0.096211,0.096211,5.411724,0.000000,,,0.096211,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,16,1,30000,724325,774,0.180204,0.099528,0.099528,5.546331,0.000000,,,0.099528,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,20,0,30000,724325,774,0.186637,0.102247,0.102247,5.652705,0.000000,,,0.102247,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,24,1,30000,724325,774,0.192885,0.105942,0.105942,5.730717,0.000000,,,0.105942,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,28,0,30000,724325,774,0.197908,0.108856,0.108856,5.787810,0.000000,,,0.108856,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,32,1,30000,724325,774,0.200768,0.109928,0.109928,5.828879,0.000000,,,0.109928,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,36,0,30000,724325,774,0.203380,0.111492,0.111492,5.854822,0.000000,,,0.111492,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,40,1,30000,724325,774,0.205426,0.112795,0.112795,5.871211,0.000000,,,0.112795,0.000000,
matched,2016-01,EXACT_TARGET_MARGINAL_PERMUTATION,san_canon,44,0,30000,724325,774,0.205733,0.112722,0.112722,5.878994,0.000000,,,0.112722,0.000000,
