2453380.606   2.78  3.415 0.049   3.854 0.075  4.478 0.207  4.799 0.274 Wise    TAVAS
2453381.581   1.62  3.463 0.154   3.993 0.238  4.596 0.527  4.968 0.696 Wise    TAVAS
2453384.554   2.65  3.312 0.073   3.680 0.101  4.014 0.226  4.456 0.325 Wise    TAVAS
2453385.816   0.45  3.370 0.014   3.690 0.015  4.390 0.022  4.449 0.023 APO     SPICam
2453385.951   0.63  3.300 0.024   3.663 0.031  4.282 0.051  4.476 0.060 FLWO    Minicam
2453386.453   2.74  3.303 0.079   3.653 0.114  4.407 0.358  5.985 1.201 Wise    TAVAS
2453387.527   2.92  3.321 0.087   3.609 0.109  4.418 0.411  6.088 1.465 Wise    TAVAS
2453387.960   0.69  3.328 0.027   3.626 0.033  4.313 0.058  4.522 0.069 FLWO    Minicam
2453399.018   0.30  3.341 0.067   3.752 0.096  4.222 0.148  4.319 0.161 FLWO    Minicam
2453399.714   0.25  3.342 0.049   3.671 0.064  4.392 0.123  4.528 0.138 FLWO    Minicam
2453402.990   0.27  3.397 0.041   3.663 0.052  4.296 0.091  4.401 0.100 FLWO    Minicam
2453403.412   1.99  3.317 0.063   3.826 0.101  4.487 0.253  4.820 0.335 Wise    TAVAS
2453406.322   1.32  3.330 0.099   3.742 0.146  3.984 0.206  7.828 2.508 Wise    TAVAS
2453408.375   1.96  3.408 0.067   3.688 0.086  4.165 0.191  5.427 0.545 Wise    TAVAS
2453410.806   0.78  3.330 0.023   3.664 0.029  4.379 0.053  4.488 0.059 FLWO    Minicam
2453411.452   2.81  2.988 0.065)  3.489 0.107  4.139 0.307  4.821 0.544 Wise    TAVAS
2453412.404   2.20  3.586 0.092   3.777 0.108  4.453 0.293 10.64  6.648 Wise    TAVAS
2453416.000   0.63  3.531 0.103   3.639 0.113  4.540 0.249  4.936 0.348 Wise    Tektronix
2453417.000   0.90  3.363 0.072   3.648 0.093  4.075 0.136  4.628 0.221 Wise    Tektronix
2453419.000   0.51  3.439 0.073   3.647 0.088  4.636 0.207  5.061 0.293 Wise    Tektronix
2453430.930   0.28  3.393 0.043   3.611 0.051  4.201 0.087  4.523 0.116 FLWO    Minicam
2453431.738   0.59  3.362 0.028   3.683 0.036  4.268 0.060  4.462 0.071 FLWO    Minicam
2453432.721   0.55  3.385 0.028   3.639 0.035  4.249 0.058  4.393 0.065 FLWO    Minicam
2453433.740   0.93  3.364 0.025   3.665 0.031  4.281 0.051  4.380 0.056 FLWO    Minicam
2453439.643   0.39  3.377 0.013   3.643 0.014  4.237 0.018  4.384 0.020 APO     SPICam
2453439.719   0.71  3.339 0.025   3.650 0.032  4.207 0.050  4.473 0.063 FLWO    Minicam
2453441.615   0.34  3.380 0.014   3.639 0.015  4.240 0.020  4.376 0.022 APO     SPICam
2453441.797   0.60  3.353 0.030   3.674 0.038  4.216 0.060  4.444 0.074 FLWO    Minicam
2453442.734   0.84  3.374 0.026   3.664 0.032  4.198 0.049  4.409 0.059 FLWO    Minicam
2453443.748   1.17  3.346 0.029   3.681 0.038  4.262 0.067  4.488 0.082 FLWO    Minicam
2453459.333   1.39  3.322 0.068   3.780 0.101  4.366 0.201  4.520 0.233 Wise    TAVAS
2453462.836   0.31  3.317 0.037   3.739 0.052  4.271 0.084  4.543 0.107 FLWO    Minicam
2453462.859   1.17  3.376 0.013   3.669 0.015  4.220 0.020  4.374 0.022 APO     SPICam
2453463.722   0.55  3.384 0.031   3.653 0.038  4.206 0.062  4.460 0.077 FLWO    Minicam
2453464.719   0.81  3.382 0.023   3.684 0.029  4.168 0.042  4.436 0.053 FLWO    Minicam
2453466.251   1.65  3.515 0.083   3.917 0.119  4.198 0.201  4.716 0.307 Wise    TAVAS
2453467.320   2.26  3.494 0.063   3.793 0.083  4.374 0.209  4.781 0.298 Wise    TAVAS
2453468.291   1.45  3.318 0.086   3.774 0.130  4.408 0.278  4.882 0.410 Wise    TAVAS
2453469.756   0.34  3.396 0.055   3.766 0.074  4.320 0.121  4.364 0.126 FLWO    Minicam
2453470.713   0.47  3.364 0.026   3.707 0.033  4.252 0.053  4.433 0.062 FLWO    Minicam
2453471.000   0.50  3.457 0.085   3.746 0.109  4.074 0.149  4.523 0.221 Wise    Tektronix
2453471.763   0.32  3.386 0.029   3.763 0.039  4.174 0.056  4.492 0.074 FLWO    Minicam
2453472.766   0.85  3.397 0.025   3.709 0.031  4.277 0.049  4.447 0.057 FLWO    Minicam
2453473.744   1.38  3.393 0.020   3.694 0.024  4.235 0.043  4.438 0.051 FLWO    Minicam
2453474.743   0.84  3.398 0.022   3.719 0.028  4.209 0.042  4.443 0.051 FLWO    Minicam
