image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
B,56785.16300,6785.663,19.383,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,56785.16300,6785.663,20.028,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,56785.16300,6785.663,20.740,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,56793.13500,6793.635,19.305,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,56793.13500,6793.635,19.363,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,56793.13500,6793.635,20.064,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,56793.13500,6793.635,20.846,0.040,SDSS r,FLWO 1.2m Keplercam,1
A,56794.13600,6794.636,19.291,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,56794.13600,6794.636,19.333,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,56794.13600,6794.636,19.990,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,56794.13600,6794.636,20.781,0.040,SDSS r,FLWO 1.2m Keplercam,1
A,56795.13600,6795.636,19.313,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,56795.13600,6795.636,19.353,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,56795.13600,6795.636,20.031,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,56795.13600,6795.636,20.783,0.043,SDSS r,FLWO 1.2m Keplercam,1
A,56798.13800,6798.638,19.332,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,56798.13800,6798.638,19.356,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,56798.13800,6798.638,20.058,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,56798.13800,6798.638,20.935,0.040,SDSS r,FLWO 1.2m Keplercam,1
A,56799.18300,6799.683,19.327,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,56799.18300,6799.683,19.367,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,56799.18300,6799.683,20.004,0.016,SDSS r,FLWO 1.2m Keplercam,1
D,56799.18300,6799.683,20.850,0.032,SDSS r,FLWO 1.2m Keplercam,1
A,56801.14000,6801.640,19.279,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,56801.14000,6801.640,19.325,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,56801.14000,6801.640,20.025,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,56801.14000,6801.640,20.901,0.053,SDSS r,FLWO 1.2m Keplercam,1
A,56802.17100,6802.671,19.313,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,56802.17100,6802.671,19.347,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,56802.17100,6802.671,19.998,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,56802.17100,6802.671,20.835,0.042,SDSS r,FLWO 1.2m Keplercam,1
A,56804.14000,6804.640,19.309,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,56804.14000,6804.640,19.342,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,56804.14000,6804.640,20.025,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,56804.14000,6804.640,20.729,0.052,SDSS r,FLWO 1.2m Keplercam,1
A,56805.14100,6805.641,19.315,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,56805.14100,6805.641,19.360,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,56805.14100,6805.641,20.038,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,56805.14100,6805.641,20.807,0.050,SDSS r,FLWO 1.2m Keplercam,1
A,56807.14300,6807.643,19.316,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,56807.14300,6807.643,19.362,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,56807.14300,6807.643,20.011,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,56807.14300,6807.643,20.829,0.043,SDSS r,FLWO 1.2m Keplercam,1
A,56809.16200,6809.662,19.343,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,56809.16200,6809.662,19.355,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,56809.16200,6809.662,20.062,0.015,SDSS r,FLWO 1.2m Keplercam,1
D,56809.16200,6809.662,20.813,0.030,SDSS r,FLWO 1.2m Keplercam,1
A,56811.15800,6811.658,19.340,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,56811.15800,6811.658,19.365,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,56811.15800,6811.658,20.053,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,56811.15800,6811.658,20.878,0.043,SDSS r,FLWO 1.2m Keplercam,1
A,56813.15900,6813.659,19.326,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,56813.15900,6813.659,19.331,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,56813.15900,6813.659,20.050,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,56813.15900,6813.659,20.869,0.049,SDSS r,FLWO 1.2m Keplercam,1
A,56816.15800,6816.658,19.299,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,56816.15800,6816.658,19.351,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,56816.15800,6816.658,20.028,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,56816.15800,6816.658,20.802,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,56818.14500,6818.645,19.310,0.031,SDSS r,FLWO 1.2m Keplercam,1
B,56818.14500,6818.645,19.394,0.037,SDSS r,FLWO 1.2m Keplercam,1
C,56818.14500,6818.645,20.074,0.046,SDSS r,FLWO 1.2m Keplercam,1
D,56818.14500,6818.645,20.559,0.096,SDSS r,FLWO 1.2m Keplercam,1
A,56819.16100,6819.661,19.326,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,56819.16100,6819.661,19.347,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,56819.16100,6819.661,20.024,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,56819.16100,6819.661,20.906,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,56821.16100,6821.661,19.310,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,56821.16100,6821.661,19.356,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,56821.16100,6821.661,19.963,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,56821.16100,6821.661,20.821,0.078,SDSS r,FLWO 1.2m Keplercam,1
A,56822.16100,6822.661,19.313,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,56822.16100,6822.661,19.340,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,56822.16100,6822.661,20.004,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,56822.16100,6822.661,20.880,0.059,SDSS r,FLWO 1.2m Keplercam,1
A,56823.16100,6823.661,19.308,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,56823.16100,6823.661,19.376,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,56823.16100,6823.661,20.053,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,56823.16100,6823.661,20.940,0.037,SDSS r,FLWO 1.2m Keplercam,1
A,56830.14800,6830.648,19.284,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,56830.14800,6830.648,19.385,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,56830.14800,6830.648,20.060,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,56830.14800,6830.648,21.212,0.080,SDSS r,FLWO 1.2m Keplercam,1
A,56831.14800,6831.648,19.256,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,56831.14800,6831.648,19.339,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,56831.14800,6831.648,20.125,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,56831.14800,6831.648,20.847,0.062,SDSS r,FLWO 1.2m Keplercam,1
A,56832.14800,6832.648,19.239,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,56832.14800,6832.648,19.384,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,56832.14800,6832.648,20.155,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,56832.14800,6832.648,20.955,0.061,SDSS r,FLWO 1.2m Keplercam,1
A,56833.14800,6833.648,19.265,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,56833.14800,6833.648,19.397,0.029,SDSS r,FLWO 1.2m Keplercam,1
C,56833.14800,6833.648,20.180,0.036,SDSS r,FLWO 1.2m Keplercam,1
D,56833.14800,6833.648,20.979,0.075,SDSS r,FLWO 1.2m Keplercam,1
A,56834.14800,6834.648,19.288,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,56834.14800,6834.648,19.394,0.027,SDSS r,FLWO 1.2m Keplercam,1
C,56834.14800,6834.648,20.110,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,56834.14800,6834.648,20.889,0.068,SDSS r,FLWO 1.2m Keplercam,1
A,56835.15100,6835.651,19.262,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,56835.15100,6835.651,19.339,0.027,SDSS r,FLWO 1.2m Keplercam,1
C,56835.15100,6835.651,20.167,0.034,SDSS r,FLWO 1.2m Keplercam,1
D,56835.15100,6835.651,20.845,0.070,SDSS r,FLWO 1.2m Keplercam,1
A,56836.14800,6836.648,19.308,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,56836.14800,6836.648,19.376,0.033,SDSS r,FLWO 1.2m Keplercam,1
C,56836.14800,6836.648,20.147,0.041,SDSS r,FLWO 1.2m Keplercam,1
D,56836.14800,6836.648,20.813,0.084,SDSS r,FLWO 1.2m Keplercam,1
A,56838.14600,6838.646,19.256,0.032,SDSS r,FLWO 1.2m Keplercam,1
B,56838.14600,6838.646,19.402,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,56838.14600,6838.646,20.114,0.047,SDSS r,FLWO 1.2m Keplercam,1
D,56838.14600,6838.646,21.121,0.097,SDSS r,FLWO 1.2m Keplercam,1
A,57170.15200,7170.652,19.201,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,57170.15200,7170.652,19.162,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,57170.15200,7170.652,20.165,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,57170.15200,7170.652,20.699,0.040,SDSS r,FLWO 1.2m Keplercam,1
A,57171.15700,7171.657,19.206,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,57171.15700,7171.657,19.205,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,57171.15700,7171.657,20.173,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,57171.15700,7171.657,20.753,0.045,SDSS r,FLWO 1.2m Keplercam,1
A,57172.15700,7172.657,19.182,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,57172.15700,7172.657,19.159,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,57172.15700,7172.657,20.161,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,57172.15700,7172.657,20.633,0.053,SDSS r,FLWO 1.2m Keplercam,1
A,57174.15800,7174.658,19.200,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,57174.15800,7174.658,19.182,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,57174.15800,7174.658,20.273,0.039,SDSS r,FLWO 1.2m Keplercam,1
D,57174.15800,7174.658,20.559,0.081,SDSS r,FLWO 1.2m Keplercam,1
A,57176.15900,7176.659,19.140,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,57176.15900,7176.659,19.236,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,57176.15900,7176.659,20.225,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,57176.15900,7176.659,20.428,0.066,SDSS r,FLWO 1.2m Keplercam,1
A,57180.15900,7180.659,19.173,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,57180.15900,7180.659,19.225,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,57180.15900,7180.659,20.149,0.015,SDSS r,FLWO 1.2m Keplercam,1
D,57180.15900,7180.659,20.666,0.031,SDSS r,FLWO 1.2m Keplercam,1
A,57185.16200,7185.662,19.117,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57185.16200,7185.662,19.162,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,57185.16200,7185.662,20.210,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,57185.16200,7185.662,20.642,0.038,SDSS r,FLWO 1.2m Keplercam,1
A,57291.50800,7292.008,19.269,0.032,SDSS r,FLWO 1.2m Keplercam,1
B,57291.50800,7292.008,19.335,0.037,SDSS r,FLWO 1.2m Keplercam,1
C,57291.50800,7292.008,20.016,0.047,SDSS r,FLWO 1.2m Keplercam,1
D,57291.50800,7292.008,20.956,0.099,SDSS r,FLWO 1.2m Keplercam,1
A,57304.50300,7305.003,19.259,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,57304.50300,7305.003,19.365,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,57304.50300,7305.003,20.055,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,57304.50300,7305.003,21.202,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,57319.50800,7320.008,19.270,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,57319.50800,7320.008,19.344,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,57319.50800,7320.008,20.053,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,57319.50800,7320.008,21.077,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,57333.49400,7333.994,19.308,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57333.49400,7333.994,19.392,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57333.49400,7333.994,19.976,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,57333.49400,7333.994,21.072,0.035,SDSS r,FLWO 1.2m Keplercam,1
A,57339.47800,7339.978,19.312,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,57339.47800,7339.978,19.394,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,57339.47800,7339.978,19.967,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,57339.47800,7339.978,20.996,0.040,SDSS r,FLWO 1.2m Keplercam,1
A,57344.49200,7344.992,19.337,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,57344.49200,7344.992,19.382,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,57344.49200,7344.992,19.982,0.017,SDSS r,FLWO 1.2m Keplercam,1
D,57344.49200,7344.992,20.948,0.034,SDSS r,FLWO 1.2m Keplercam,1
A,57346.36900,7346.869,19.333,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,57346.36900,7346.869,19.404,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,57346.36900,7346.869,20.015,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,57346.36900,7346.869,20.955,0.045,SDSS r,FLWO 1.2m Keplercam,1
A,57359.41800,7359.918,19.355,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,57359.41800,7359.918,19.363,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,57359.41800,7359.918,19.993,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,57359.41800,7359.918,21.024,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,57360.54500,7361.045,19.357,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,57360.54500,7361.045,19.349,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,57360.54500,7361.045,19.959,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,57360.54500,7361.045,21.045,0.042,SDSS r,FLWO 1.2m Keplercam,1
A,57364.45600,7364.956,19.329,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57364.45600,7364.956,19.350,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,57364.45600,7364.956,19.985,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,57364.45600,7364.956,20.965,0.038,SDSS r,FLWO 1.2m Keplercam,1
A,57366.53000,7367.030,19.381,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57366.53000,7367.030,19.378,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57366.53000,7367.030,19.989,0.014,SDSS r,FLWO 1.2m Keplercam,1
D,57366.53000,7367.030,20.960,0.026,SDSS r,FLWO 1.2m Keplercam,1
A,57386.55500,7387.055,19.396,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,57386.55500,7387.055,19.448,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,57386.55500,7387.055,19.906,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,57386.55500,7387.055,20.991,0.057,SDSS r,FLWO 1.2m Keplercam,1
A,57389.51800,7390.018,19.376,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,57389.51800,7390.018,19.444,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,57389.51800,7390.018,19.911,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,57389.51800,7390.018,20.880,0.039,SDSS r,FLWO 1.2m Keplercam,1
A,57390.45300,7390.953,19.355,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57390.45300,7390.953,19.417,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57390.45300,7390.953,19.870,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,57390.45300,7390.953,20.965,0.037,SDSS r,FLWO 1.2m Keplercam,1
A,57403.51900,7404.019,19.410,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57403.51900,7404.019,19.555,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,57403.51900,7404.019,19.913,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,57403.51900,7404.019,20.933,0.038,SDSS r,FLWO 1.2m Keplercam,1
A,57416.28500,7416.785,19.411,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,57416.28500,7416.785,19.571,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,57416.28500,7416.785,19.990,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,57416.28500,7416.785,21.094,0.069,SDSS r,FLWO 1.2m Keplercam,1
A,57417.42700,7417.927,19.415,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,57417.42700,7417.927,19.586,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,57417.42700,7417.927,19.972,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,57417.42700,7417.927,20.890,0.049,SDSS r,FLWO 1.2m Keplercam,1
A,57431.53500,7432.035,19.433,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57431.53500,7432.035,19.570,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57431.53500,7432.035,20.068,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,57431.53500,7432.035,20.888,0.037,SDSS r,FLWO 1.2m Keplercam,1
A,57432.37900,7432.879,19.408,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57432.37900,7432.879,19.522,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57432.37900,7432.879,20.017,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,57432.37900,7432.879,20.808,0.040,SDSS r,FLWO 1.2m Keplercam,1
A,57433.46600,7433.966,19.427,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,57433.46600,7433.966,19.575,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,57433.46600,7433.966,20.106,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,57433.46600,7433.966,20.864,0.043,SDSS r,FLWO 1.2m Keplercam,1
A,57434.34000,7434.840,19.417,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,57434.34000,7434.840,19.548,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,57434.34000,7434.840,20.079,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,57434.34000,7434.840,20.733,0.042,SDSS r,FLWO 1.2m Keplercam,1
A,57436.51400,7437.014,19.413,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,57436.51400,7437.014,19.574,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,57436.51400,7437.014,20.107,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,57436.51400,7437.014,20.796,0.046,SDSS r,FLWO 1.2m Keplercam,1
A,57443.33500,7443.835,19.445,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,57443.33500,7443.835,19.585,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,57443.33500,7443.835,20.166,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,57443.33500,7443.835,20.923,0.063,SDSS r,FLWO 1.2m Keplercam,1
A,57444.33200,7444.832,19.426,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,57444.33200,7444.832,19.547,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,57444.33200,7444.832,20.147,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,57444.33200,7444.832,20.743,0.049,SDSS r,FLWO 1.2m Keplercam,1
A,57445.38000,7445.880,19.441,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,57445.38000,7445.880,19.554,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,57445.38000,7445.880,20.182,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,57445.38000,7445.880,20.855,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,57446.18900,7446.689,19.441,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57446.18900,7446.689,19.492,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57446.18900,7446.689,20.205,0.015,SDSS r,FLWO 1.2m Keplercam,1
D,57446.18900,7446.689,20.730,0.029,SDSS r,FLWO 1.2m Keplercam,1
A,57451.18200,7451.682,19.445,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57451.18200,7451.682,19.529,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57451.18200,7451.682,20.249,0.014,SDSS r,FLWO 1.2m Keplercam,1
D,57451.18200,7451.682,20.714,0.028,SDSS r,FLWO 1.2m Keplercam,1
A,57454.34600,7454.846,19.504,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57454.34600,7454.846,19.544,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57454.34600,7454.846,20.293,0.014,SDSS r,FLWO 1.2m Keplercam,1
D,57454.34600,7454.846,20.731,0.029,SDSS r,FLWO 1.2m Keplercam,1
A,57457.16000,7457.660,19.457,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57457.16000,7457.660,19.470,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57457.16000,7457.660,20.247,0.014,SDSS r,FLWO 1.2m Keplercam,1
D,57457.16000,7457.660,20.729,0.029,SDSS r,FLWO 1.2m Keplercam,1
A,57458.15200,7458.652,19.492,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57458.15200,7458.652,19.507,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57458.15200,7458.652,20.298,0.013,SDSS r,FLWO 1.2m Keplercam,1
D,57458.15200,7458.652,20.699,0.027,SDSS r,FLWO 1.2m Keplercam,1
A,57460.30100,7460.801,19.465,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57460.30100,7460.801,19.507,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57460.30100,7460.801,20.236,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,57460.30100,7460.801,20.664,0.037,SDSS r,FLWO 1.2m Keplercam,1
A,57461.12800,7461.628,19.463,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,57461.12800,7461.628,19.479,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,57461.12800,7461.628,20.269,0.017,SDSS r,FLWO 1.2m Keplercam,1
D,57461.12800,7461.628,20.690,0.035,SDSS r,FLWO 1.2m Keplercam,1
A,57462.17400,7462.674,19.470,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,57462.17400,7462.674,19.484,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,57462.17400,7462.674,20.228,0.017,SDSS r,FLWO 1.2m Keplercam,1
D,57462.17400,7462.674,20.613,0.035,SDSS r,FLWO 1.2m Keplercam,1
A,57473.15000,7473.650,19.494,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,57473.15000,7473.650,19.450,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,57473.15000,7473.650,20.235,0.014,SDSS r,FLWO 1.2m Keplercam,1
D,57473.15000,7473.650,20.688,0.028,SDSS r,FLWO 1.2m Keplercam,1
A,57475.16200,7475.662,19.488,0.009,SDSS r,FLWO 1.2m Keplercam,1
B,57475.16200,7475.662,19.455,0.011,SDSS r,FLWO 1.2m Keplercam,1
C,57475.16200,7475.662,20.236,0.012,SDSS r,FLWO 1.2m Keplercam,1
D,57475.16200,7475.662,20.694,0.024,SDSS r,FLWO 1.2m Keplercam,1
A,57481.28400,7481.784,19.472,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,57481.28400,7481.784,19.514,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,57481.28400,7481.784,20.243,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,57481.28400,7481.784,20.718,0.044,SDSS r,FLWO 1.2m Keplercam,1
A,57504.24200,7504.742,19.445,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,57504.24200,7504.742,19.519,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,57504.24200,7504.742,20.270,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,57504.24200,7504.742,20.669,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,57505.27000,7505.770,19.427,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,57505.27000,7505.770,19.555,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,57505.27000,7505.770,20.161,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,57505.27000,7505.770,20.754,0.046,SDSS r,FLWO 1.2m Keplercam,1
A,57510.19200,7510.692,19.466,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57510.19200,7510.692,19.586,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57510.19200,7510.692,20.187,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,57510.19200,7510.692,20.698,0.037,SDSS r,FLWO 1.2m Keplercam,1
A,57512.13300,7512.633,19.444,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,57512.13300,7512.633,19.588,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,57512.13300,7512.633,20.140,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,57512.13300,7512.633,20.699,0.038,SDSS r,FLWO 1.2m Keplercam,1
A,57513.15900,7513.659,19.449,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,57513.15900,7513.659,19.588,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,57513.15900,7513.659,20.162,0.016,SDSS r,FLWO 1.2m Keplercam,1
D,57513.15900,7513.659,20.667,0.032,SDSS r,FLWO 1.2m Keplercam,1
A,57515.13600,7515.636,19.463,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,57515.13600,7515.636,19.636,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,57515.13600,7515.636,20.154,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,57515.13600,7515.636,20.680,0.047,SDSS r,FLWO 1.2m Keplercam,1
A,57518.15800,7518.658,19.440,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,57518.15800,7518.658,19.593,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,57518.15800,7518.658,20.122,0.016,SDSS r,FLWO 1.2m Keplercam,1
D,57518.15800,7518.658,20.653,0.031,SDSS r,FLWO 1.2m Keplercam,1
A,57519.15900,7519.659,19.457,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,57519.15900,7519.659,19.615,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,57519.15900,7519.659,20.125,0.017,SDSS r,FLWO 1.2m Keplercam,1
D,57519.15900,7519.659,20.656,0.033,SDSS r,FLWO 1.2m Keplercam,1
A,57524.14000,7524.640,19.474,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,57524.14000,7524.640,19.622,0.023,SDSS r,FLWO 1.2m Keplercam,1
