sample,galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,g_obs,g_bar,e_gobs,g_pred_gate,g_pred_mond,dlnB_ring
sparc,DDO064,1.29,1.8695652173913044,35.3,15.383169374351956,3.13046718200289e-11,5.944993554533056e-12,8.194197382919746e-12,2.6243117424050087e-11,2.8823225024513744e-11,-0.0745834897304895
sparc,DDO064,1.48,2.1449275362318843,40.5,18.80644038620812,3.591681236156162e-11,7.744634789223781e-12,8.194354227674799e-12,3.106833189202088e-11,3.341690812455559e-11,-0.0537337052531496
sparc,DDO064,1.68,2.4347826086956523,44.2,21.146507985953615,3.7686405065655297e-11,8.626159705960872e-12,8.338756595975312e-12,3.352187826511592e-11,3.551419860272135e-11,-0.0349069848532657
sparc,DDO064,1.88,2.7246376811594204,46.29999999999999,22.818663413968835,3.6953330611643565e-11,8.975776092083998e-12,7.37470356050943e-12,3.4668439458554906e-11,3.632326180398031e-11,-0.0129860400013239
sparc,DDO064,2.08,3.014492753623189,46.39999999999999,23.835574253623513,3.3544558552894904e-11,8.851917525465186e-12,6.6799939876885535e-12,3.4685044364946206e-11,3.6038016498950206e-11,0.0165638561383459
sparc,DDO064,2.27,3.2898550724637685,46.29999999999999,24.145089562890423,3.0604520506559424e-11,8.323025763565966e-12,6.107684006060673e-12,3.37018459333248e-11,3.480261892244405e-11,0.0285856564044401
sparc,DDO064,2.37,3.4347826086956528,46.4,24.435919258337716,2.94399501223719e-11,8.165042914574582e-12,8.540123462222536e-12,3.343275638674767e-11,3.442787319392537e-11,0.0244857789011081
sparc,DDO064,2.98,4.3188405797101455,46.89999999999999,25.290333133432625,2.3920974942465495e-11,6.95572319553336e-12,8.823728496900921e-12,3.091959678720437e-11,3.146086640528616e-11,0.0207168125291759
sparc,DDO154,0.49,1.3243243243243243,13.8,9.473945851650198,1.2595387915954794e-11,5.936290849604431e-12,2.920669661670677e-12,2.152373165598048e-11,2.8799778569741444e-11,1.3565969619211815
sparc,DDO154,0.99,2.675675675675676,21.6,12.70837715839438,1.527290894225417e-11,5.2868191057195954e-12,1.131326588315124e-12,2.352281633535383e-11,2.7009270861972748e-11,0.7053828661885596
sparc,DDO154,1.48,4.0,28.89999999999999,14.212957116659432,1.8288724799573158e-11,4.423404248776829e-12,8.859589868305336e-13,2.2649672085039707e-11,2.4484963430978397e-11,0.2087558729957627
sparc,DDO154,1.97,5.324324324324325,34.3,15.620761825211984,1.9354032620499495e-11,4.014095030530957e-12,5.642575108017345e-13,2.215498507338635e-11,2.3218331079549415e-11,0.0812169501292879
sparc,DDO154,2.47,6.675675675675676,38.2,16.430736441194593,1.9146051701736015e-11,3.542146834291233e-12,4.009644335442098e-13,2.1061882055337495e-11,2.1689439286648892e-11,0.0365061246490263
sparc,DDO154,2.96,8.0,42.0,17.44685645037524,1.9313292792499527e-11,3.33266852059453e-12,1.839361218333288e-13,2.058714539042648e-11,2.0983734751522297e-11,0.0169691153339035
sparc,DDO154,3.46,9.35135135135135,44.6,18.56848001318363,1.8631296333500443e-11,3.2294314104035377e-12,1.67096828103143e-13,2.0371211047757232e-11,2.062909867227392e-11,0.0147448267398471
sparc,DDO154,3.95,10.675675675675675,46.29999999999999,18.733780985161538,1.7587914316427822e-11,2.8794081953829536e-12,1.519474239000244e-13,1.9223509523663265e-11,1.9389416156160432e-11,0.0104111100395285
sparc,DDO154,4.44,12.000000000000002,47.39999999999999,18.224227006926796,1.6399219090882926e-11,2.4241791836025263e-12,2.0758505178332827e-13,1.7570725604079324e-11,1.767629452971352e-11,0.0064740657232724
sparc,DDO154,4.94,13.351351351351353,48.20000000000001,17.61706417085435,1.5241109466414426e-11,2.036055342130117e-12,3.7944670870741323e-13,1.6034919722561728e-11,1.6102405861696808e-11,0.0042395759645246
sparc,DDO154,5.43,14.675675675675675,47.39999999999999,16.92600514002049,1.3409306217959523e-11,1.7098521627259028e-12,3.960554579144163e-13,1.4630915846038638e-11,1.467486585140385e-11,0.0045966636709102
sparc,DDO154,5.92,16.0,45.5,16.25433480644471,1.1333147506709792e-11,1.4463258562851105e-12,6.476084289548453e-13,1.3402079874849664e-11,1.3431083269039464e-11,0.0051198063320617
sparc,DDO161,0.6,0.4918032786885246,15.999999999999998,11.214564191264856,1.3827324968295958e-11,6.793021774449004e-12,6.101307142260591e-12,2.4505273797402068e-11,3.104696271145976e-11,0.5694375898927982
sparc,DDO161,0.73,0.5983606557377049,16.6,12.92434137586902,1.2233275904099856e-11,7.415551170106595e-12,7.118882242988229e-12,2.6951321291681948e-11,3.261079205471279e-11,0.3916190521555737
sparc,DDO161,0.85,0.6967213114754098,18.6,14.250489465278026,1.3190352976190266e-11,7.742658274516285e-12,3.5457938108038344e-12,2.849567040590458e-11,3.3412106256941025e-11,0.8188884320957233
