survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,160039,15,0.27085,0.001,0.27,0.001,-0.074508,0.029054,-1.16728,0.25745,21.2318,0.0349428,5.77152e-05,1.85748e-06,0.000750418,-1.54931e-07,-4.16739e-08,184.975,48.1403,-999,-999,20.1517,-20.0605,250,0.010086,7.0,1.0,55700.3,0.2641,25,19.2766,0.78367
PS1MD,380378,15,0.27129,0.001,0.2708,0.001,-0.139588,0.02573,0.51938,0.17632,20.9056,0.0345156,7.79406e-05,2.47773e-06,0.000821608,-1.95801e-07,-5.13577e-08,213.525,53.4648,-999,-999,19.2978,-26.5618,250,0.00916565,10.364,0.514,56052.7,0.155,40,39.1268,0.50941
SDSS,15356,1,0.2734,0.0001,0.27493,0.0001,-0.017309,0.047817,-0.662822,0.50693,21.204,0.0537294,5.92103e-05,2.93012e-06,0.00320459,-5.60915e-07,-7.4309e-08,335.053,0.4099,-9,-9,0.041,-24.3597,250,0.055512,10.743,0.166,54029.1,0.4861,38,41.2241,0.33145
PS1MD,420258,15,0.27444,0.001,0.276,0.001,0.24526,0.042636,0.89614,0.32366,21.9632,0.0574729,2.94253e-05,1.55761e-06,-0.000443003,-1.71555e-07,-4.77723e-08,352.428,0.7054,-999,-999,17.865,-28.6259,250,0.0338676,11.463,0.013,56167.9,0.361,39,40.2552,0.41449
PS1MD,100213,15,0.27511,0.001,0.2756,0.001,0.015308,0.04238,0.84021,0.42495,21.5059,0.057758,4.48381e-05,2.38526e-06,0.00298968,-4.03749e-07,-7.69635e-08,53.0671,-27.1943,-999,-999,21.0276,4.7106,250,0.00634982,9.414,0.36,55521.4,0.0166,22,16.3504,0.79812
PS1MD,150254,15,0.27508,0.001,0.2742,0.001,0.069821,0.027463,-0.048666,0.17131,21.5476,0.0345452,4.31463e-05,1.3728e-06,0.000649059,-6.60809e-08,-3.0727e-08,183.211,47.1458,-999,-999,21.7504,-18.8776,250,0.0167671,9.355,0.439,55678.3,0.2391,41,49.0212,0.18236
SDSS,20227,1,0.27574,6e-05,0.2773,6e-05,-0.136189,0.04702,-1.22544,0.55655,21.2657,0.0470718,5.59383e-05,2.42519e-06,0.00429013,-4.96285e-07,-5.30487e-08,349.12,-0.0985,-9,-9,1.555,-27.1641,250,0.0362945,11.046,0.149,54408.4,0.5459,32,20.4208,0.94357
SDSS,19051,1,0.27619,3e-05,0.27775,3e-05,-0.083775,0.041382,0.73313,0.45036,21.1235,0.0464579,6.37692e-05,2.72864e-06,0.0035031,-6.42995e-07,-6.17532e-08,351.375,0.4231,-9,-9,1.084,-28.0519,250,0.0323798,11.292,0.088,54391.3,0.4004,47,55.2792,0.19044
SDSS,4000,1,0.27656,0.00012,0.2777,0.00012,-0.007167,0.062479,-1.09129,0.61037,21.64,0.0694626,3.96287e-05,2.53534e-06,0.0058673,-8.11863e-07,-7.37749e-08,31.016,-0.3658,-9,-9,3.081,-27.1952,250,0.02165,10.919,0.072,53643.0,0.8118,60,47.8191,0.87194
SDSS,4046,1,0.27764,0.005,0.2792,0.005,-0.000197,0.044482,0.80612,0.52843,21.2666,0.0515592,5.58924e-05,2.65421e-06,0.00129581,-7.84873e-07,-5.76302e-08,354.498,0.6421,-9,-9,0.332,-28.6065,250,0.0300972,9.359,0.302,53645.8,0.5264,59,43.127,0.94
SDSS,5957,1,0.27924,2e-05,0.28031,2e-05,-0.121032,0.041912,-0.167927,0.44075,21.1938,0.0481833,5.9769e-05,2.65246e-06,0.00540612,-6.3404e-07,-7.18543e-08,34.7606,-0.2728,-9,-9,2.874,-26.3513,250,0.0310517,10.463,0.078,53666.7,0.3933,56,42.3971,0.91033
SDSS,6196,1,0.2798,6e-05,0.28134,6e-05,-0.011011,0.047083,-1.44873,0.5926,21.3188,0.0565748,5.32681e-05,2.77566e-06,0.0072991,-7.49076e-07,-8.24476e-08,337.631,-0.5027,-9,-9,0.941,-23.8001,250,0.0557178,11.406,0.14,53669.4,0.5425,49,30.3052,0.98351
PS1MD,040201,15,0.27987,0.001,0.279,0.001,-0.08678,0.028153,0.395,0.21215,21.0656,0.0388957,6.72606e-05,2.40956e-06,0.000846191,-1.26192e-07,-5.39744e-08,184.46,47.4468,-999,-999,24.475,-18.8469,250,0.0167295,9.2773,0.1,55323.3,0.4369,32,36.6519,0.26175
