element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
K	2	"548.806"	"0.003"	"548.803"	"0.004"	"2"	"2.63e+07"		"24.148675"	"26.407221"	"3p5.4p"	"1S"	"0"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	1	3		"T8304"	"L3490"	
K	2	"551.269"	"0.003"	"551.273"	"0.004"	"2"	"2.06e+06"		"21.266092"	"23.514521"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"3P"	"2"	5	5		"T8304"	"L3490"	
K	2	"553.601"	"0.003"	"553.596"	"0.007"	"3"	"2.11e+06"		"20.475420"	"22.714413"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"3S"	"1"	1	3		"T8304"	"L3490"	
K	2	"564.273"	"0.003"	"564.276"	"0.005"	"5"	"1.38e+07"		"21.266092"	"23.462708"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"1P"	"1"	5	3		"T8304"	"L12188"	
K	2	"577.232"	"0.003"	"577.234"	"0.005"	"4"	"8.32e+06"		"21.180357"	"23.327664"	"3p5.3d"	"3F*"	"3"	"3p5.4p"	"1D"	"2"	7	5		"T8304"	"L3490"	
K	1	"578.2384"	""	"578.23999"	"0.00010"	"16"	"1.186e+06"	AA	"1.60995784350"	"3.7535285"	"3p6.4p"	"2P*"	"1/2"	"3p6.7s"	"2S"	"1/2"	2	2		"T9168"	"L6096"	
K	1	"580.1752"	""	"580.17662"	"0.00010"	"17"	"2.348e+06"	AA	"1.6171130092"	"3.7535285"	"3p6.4p"	"2P*"	"3/2"	"3p6.7s"	"2S"	"1/2"	4	2		"T9168"	"L6096"	
K	1	"581.2148"	""	"581.21521"	"0.00010"	"15"	"2.86e+05"	A	"1.60995784350"	"3.7425557"	"3p6.4p"	"2P*"	"1/2"	"3p6.5d"	"2D"	"3/2"	2	4		"T9168"	"L6096"	
K	1	""	""	"583.17185"	"0.00010"	""	"6.13e+04"	A	"1.6171130092"	"3.7425557"	"3p6.4p"	"2P*"	"3/2"	"3p6.5d"	"2D"	"3/2"	4	4		"T9168"	""	
K	1	"583.1887"	""	"583.18899"	"0.00010"	"17"	"3.71e+05"	A	"1.6171130092"	"3.7424933"	"3p6.4p"	"2P*"	"3/2"	"3p6.5d"	"2D"	"5/2"	4	6		"T9168"	"L6096"	
K	2	"596.964"	"0.003"	"596.964"	"0.005"	"2"	"1.35e+06"		"20.638075"	"22.714413"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3S"	"1"	3	3		"T8304"	"L3490"	
K	2	"601.241"	"0.003"	"601.240"	"0.005"	"1"	"1.19e+06"		"21.266092"	"23.327664"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"1D"	"2"	5	5		"T8304"	"L3490"	
