ritz_wavenumber_cm_inv,ritz_unc_cm_inv,measured_wavenumber_cm_inv,measured_unc_cm_inv,relative_intensity,species,lower_level_energy,lower_J,upper_level_energy,upper_J,reference
7663.47836,0.00007,7663.4787,0.0006,31,Th I,18699,2,26363,2_odd,EHW03
7664.15919,0.00015,7664.1583,0.0005,47,Th I,21645,4,29310,4_odd,EHW03
7664.61296,0.00003,7664.61299,0.00020,290,Th I,7502,3,15166,3_odd,KNS08
7665.29830,0.00006,7665.298,0.003,0,Th I,18431,3,26096,3_odd,GBCZ74
7667.04711,0.00014,7667.0450,0.0007,15,Th I,22877,1_odd,30544,2,EHW03
7669.68936,0.00003,7669.6894,0.0004,95,Th I,6362,2,14032,2_odd,KNS08
7671.83597,0.00011,7671.8361,0.0003,280,Th I,23655,4_odd,31326,4,PE83
7672.35343,0.00010,7672.3536,0.0006,23,Th I,22338,3_odd,30011,3,EHW03
7673.05584,0.00022,7673.0561,0.0008,7,Th II,12485,7/2_odd,20158,5/2,EHW03
-,-,7673.4258,0.0003,1698,Ar I,107132,1,114805,2_odd,95WHA
7674.74537,0.00006,7674.74527,0.00011,1300,Th I,12847,3,20522,2_odd,PE83
7675.33423,0.00015,7675.3354,0.0008,9,Th I,22338,3_odd,30014,4,EHW03
7676.56779,0.00023,7676.5669,0.0006,23,Th I,23752,2_odd,31429,1,EHW03
7680.36874,0.00015,7680.3689,0.0003,330,Th II,1521,5/2,9202,7/2_odd,EHW03
7682.0875,0.0006,7682.097,0.003,0,Th I,30761,3_odd,38443,3,GBCZ74
7684.03466,0.00021,7684.0343,0.0007,17,Th I,21738,2_odd,29422,1,EHW03
7684.20342,0.00011,7684.2033,0.0003,200,Th I,17166,5,24850,6_odd,KNS08
7684.97971,0.00017,7684.9795,0.0006,19,Th I,26036,3_odd,33721,2,EHW03
7685.04298,0.00008,7685.0431,0.0008,7,Th I,15970,3,23655,4_odd,EHW03
-,-,7685.3180,0.0003,39811,Ar I,107290,2,114975,1_odd,95WHA
7685.57689,0.00005,7685.57697,0.00013,960,Th I,16346,4_odd,24032,4,PE83
7686.02895,0.00010,7686.0282,0.0008,7,Th I,22163,4_odd,29849,4,EHW03
7686.56223,0.00021,7686.5621,0.0005,75,Th II,12472,5/2_odd,20158,5/2,EHW03
7687.67428,0.00022,7687.6742,0.0003,240,Th II,17727,11/2,25414,11/2_odd,PE83
7689.26531,0.00013,7689.2653,0.0007,11,Th I,22855,3_odd,30544,2,EHW03
7693.44459,0.00010,7693.4446,0.0003,150,Th I,22141,3_odd,29835,3,KNS08
7696.36937,0.00004,7696.3693,0.0006,39,Th I,9804,5,17501,5_odd,EHW03
-,-,7696.8879,0.0004,117,Ar I,113468,2_odd,121165,3,95WHA
7697.20535,0.00010,7697.2056,0.0005,53,Th I,22855,3_odd,30552,4,EHW03
7697.94414,0.00005,7697.94380,0.00020,250,Th I,7795,4_odd,15493,4,KNS08
7700.2156,0.0003,7700.211,0.004,0,Th II,20310,5/2_odd,28011,3/2,ZC74
7700.55030,0.00010,7700.5502,0.0005,57,Th I,13945,3_odd,21645,4,EHW03
7702.0096,0.0014,7702.0099,0.0009,25,Ne I,162831,3,170533,2_odd,SBS
7705.26520,0.00020,7705.2652,0.0007,25,Ar II,199680,5/2,191975,3/2_odd,95WHA
7707.55801,0.00009,7707.5580,0.0005,73,Th I,22141,3_odd,29849,4,EHW03
7709.92875,0.00013,7709.9295,0.0006,21,Th I,23916,4_odd,31626,5,EHW03
7711.44412,0.00022,7711.4441,0.0005,75,Th II,19050,3/2_odd,26762,3/2,EHW03
7711.74242,0.00006,7711.7424,0.0004,94,Th I,20322,5_odd,28034,5,KNS08
7713.22949,0.00011,7713.2294,0.0005,55,Th I,20737,1_odd,28450,1,EHW03
7714.04805,0.00005,7714.04797,0.00007,3000,Th I,11802,2,19516,2_odd,PE83
-,-,7715.9282,0.0003,87096,Ar I,104102,1,111818,1_odd,95WHA
7718.65469,0.00005,7718.65467,0.00012,1200,Th I,12847,3,20566,4_odd,PE83
7720.46856,0.00010,7720.4675,0.0006,29,Th I,16554,6,24274,5_odd,EHW03
7720.93964,0.00016,7720.9396,0.0007,13,Th I,24274,5_odd,31995,4,EHW03
7725.2890,0.0003,7725.2870,0.0011,36,Th I,24880,1_odd,32605,1,PE83
7725.46589,0.00012,7725.46597,0.00014,830,Th II,1859,3/2,9585,5/2_odd,PE83
7726.12036,0.00011,7726.1214,0.0005,69,Th I,20724,0_odd,28450,1,EHW03
7726.49374,0.00007,7726.4934,0.0005,57,Th I,8243,2_odd,15970,3,EHW03
7727.0656,0.0004,7727.0660,0.0006,25,Th I,31283,3_odd,39010,3,EHW03
7727.6472,0.0003,7727.6466,0.0007,13,Th I,25690,5_odd,33418,4,EHW03
7727.75155,0.00013,7727.7518,0.0006,41,Th I,19532,4,27260,3_odd,EHW03
7728.71217,0.00010,7728.71210,0.00020,210,Th I,18382,0_odd,26111,1,KNS08
7729.03269,0.00023,7729.0322,0.0007,15,Th I,24981,3_odd,32710,2,EHW03
7729.59438,0.00012,7729.592,0.003,260,Th I,20054,2,27784,2_odd,Z76
7729.71454,0.00015,7729.7145,0.0003,340,Th II,4490,5/2_odd,12219,3/2,PE83
-,-,7729.9264,0.0003,12303,Ar I,107132,1,114862,0_odd,95WHA
7730.5782,0.0004,7730.5782,0.0005,73,Th I,29050,5_odd,36781,5,EHW03
7730.57847,0.00009,7730.5782,0.0005,73,Th I,17959,4,25690,5_odd,EHW03
7731.4362,0.0003,7731.4368,0.0005,47,Th II,15786,5/2,23518,7/2_odd,EHW03
7731.58776,0.00017,7731.5877,0.0006,29,Th I,25336,6_odd,33068,6,EHW03
7734.29535,0.00024,7734.2952,0.0004,170,Th II,22139,9/2_odd,29873,7/2,EHW03
